,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,dislikeCount,favouriteCount,commentCount,duration,definition,caption,publishedDaytime,durationSecs,tagCount,title_no_stopwords
10,XbW4Yp_Fvqc,Christian Dior,Dior Cruise 2023 and the global story of a Spanish shawl,"Unveiled in the city of Seville, the Cruise 2023 collection by Maria Grazia Chiuri has a theme of cultural exchange at its core. This is further exemplified by the presence of traditional Manila shawls, embroidered and hand-fringed in the Andalusian atelier of Ángeles Espinar. This emblematic Spanish accessory, as its name might suggest, boasts a centuries-old, globe-spanning history that is additionally traced here by Miren Arzalluz, Director of the Palais Galliera fashion museum in Paris.

Producer: Mar Maduell Carbonell @marmc_99
Director of Photography: Anna Molins @lamolins
Camera Assistant & Focus Puller: Neus Jordà Puigblanqué
Editor: Irene Molina @ireneemolina Assistant Editor: Mar Ortiz @marortizsainz
Sound Design: Cora Delgado @coradelgadogallen
Colour Grading: Toni Anglada @toni.anglada.9 Supervisor: Lara Vilanova Sentís AEC @laraneska Conform: Carlos de Visa @carlos.de.visa
Post Production Coordination: Mar Garro Lleonart @margarlleo and Mar Maduell Carbonell @marmc_99

#DiorCruise","['Dior Cruise', 'Cruise 2023', 'Manila Shawls', 'Shawls', 'How to', 'dior savoir-faire', 'savoir-faire', 'crafts and creativity', 'creativity', 'craftsmanship', 'know-how', 'spain', 'andalusia', 'Seville', 'Sevilla', 'Broderies', 'Embroideries', 'châles', 'Maria Grazia Chiuri', ""Women's collection"", ""women's clothes"", ""women's clothing""]",2022-06-21 14:14:45+00:00,52096.0,2586.0,,,39.0,PT3M12S,hd,true,Tuesday,192.0,22,"['Dior', 'Cruise', '2023', 'global', 'story', 'Spanish', 'shawl']"
11,fIs5KOltyao,Christian Dior,Dior Cruise 2023 show guests,"With names including Celeste, Chiara Ferragni, Adriana Ugarte, Charithra Chandran, Laetitia Casta and Elle Macpherson, learn what a selection of our special guests had to say about their experience discovering the Dior Cruise 2023 collection by Maria Grazia Chiuri, unveiled after nightfall in an unforgettable show on Seville’s monumental Plaza de España. 
Video by Daniel Darmon.

#DiorCruise","['Dior', 'Christian Dior', 'Christian Dior Couture', 'Elle Macpherson', 'Mathilder Warnier', 'Chiara Ferragni', 'Ivana Baquero', 'Alex Rivière', 'Maria Pedraza', 'Elite', 'VIPS', 'Celebrities', ""Women's collection"", ""Women's clothing"", ""Women's clothes"", 'Cruise', 'Cruise 2023', 'Dior Cruise', 'Collection croisière', 'Croisière']",2022-06-20 13:51:20+00:00,31292.0,806.0,,,20.0,PT1M48S,hd,true,Monday,108.0,20,"['Dior', 'Cruise', '2023', 'show', 'guests']"
12,_GXbbRIFAGg,Christian Dior,Dior Cruise 2023 Spanish fan savoir-faire,"The folding fan was one of the emblematic elements of Spain embraced by Maria Grazia Chiuri for the Dior Cruise 2023 collection unveiled in Seville. Across the country, in the city of Valencia, Paula Carbonell, of the Abanicos Carbonell atelier, discusses the collaboration and the multi-step required to make one of these traditional fans decorated with custom lace.

Producer: Mar Maduell Carbonell @marmc_99
Director of Photography: Lara Vilanova Sentís AEC @laraneska
Camera Assistant & Focus Puller: Lucía Ajuria Nogueras
Sound Recordist: Ginebra Abril @gin_abril
Editor: Irene Molina @ireneemolina
Assistant Editor: Mar Ortiz @marortizsainz
Sound Design: Cora Delgado @coradelgadogallen
Colour Grading: Toni Anglada @toni.anglada.9
Supervisor: Lara Vilanova Sentís AEC @laraneska
Conform: Carlos de Visa @carlos.de.visa
Post Production Coordination: Mar Garro Lleonart @margarlleo and Mar Maduell Carbonell @marmc_99
Production House: Alba Sotorra Cinema Productions @albasotorra

#DiorCruise","['Dior', 'Christian Dior', 'Dior Couture', 'Christian Dior Couture', 'Spain', 'Spanish fans', 'fans', 'abanicos', 'Traditional', 'traditions', 'how to', 'crafts and creativity', 'creativity', 'crafts', 'craftsmanship', 'savoir-faire', 'Dior savoir-faire', 'Dior know-how', 'Know-how']",2022-06-19 12:57:35+00:00,28966.0,1383.0,,,33.0,PT2M7S,hd,true,Sunday,127.0,19,"['Dior', 'Cruise', '2023', 'Spanish', 'fan', 'savoir-faire']"
13,ueb8DknenC8,Christian Dior,Dior Cruise 2023 golden embroideries,"The embroidery atelier of Jesús Rosada, located in the Andalusian city of Écija, was called on by Maria Grazia Chiuri to collaborate on three pieces for the unveiling of the Dior Cruise 2023 collection in Seville, Spain. More typically renowned for its impressive production of precious sacred art, the atelier employed its savoir-faire to decorate the peplum of a velvet 'Bar' jacket and a 'Lady Dior' bag with gold floral embroidery, while also producing a delicate but surprisingly complex embellished lacy bodice.

Producer: Mar Maduell Carbonell @marmc_99
Director of Photography: Anna Molins @lamolins
Camera Assistant & Focus Puller: Neus Jordà Puigblanqué
Sound Recordist: Mar Garro Lleonart @margarlleo
Second Unit Producer: Júlia Parés Fabrellas
Second Unit DOP: María González Otero @maruxago
Second Unit Sound Recordist: Cora Delgado @coradelgadogallen
Editor: Irene Molina @ireneemolina
Assistant Editor: Mar Ortiz @marortizsainz
Sound Design: Cora Delgado @coradelgadogallen
Colour Grading: Toni Anglada @toni.anglada.9
Supervisor: Lara Vilanova Sentís AEC @laraneska
Conform: Carlos de Visa @carlos.de.visa
Post Production Coordination: Mar Garro Lleonart @margarlleo and Mar Maduell Carbonell @marmc_99
Production House: Alba Sotorra Cinema Productions @albasotorra

#DiorCruise","['Dior', 'Christian Dior', 'Christian dior couture', 'Dior couture', 'Embroideries', 'Embroidery', 'Savoir-faire', 'Dior savoir-faire', 'how to', 'Broderies', 'Cruise 2023', ""women's collection"", ""women's clothes"", ""women's clothing"", 'Dior Cruise 2023', '2023', '2022', 'Maria Grazia Chiuri', 'Maria Grazia', 'Monsieur Dior', 'Dior Heritage', 'Dior Archives', 'Bar Jacket', 'Spain', 'Andalusia', 'Andalousie']",2022-06-18 15:09:38+00:00,33581.0,1651.0,,,46.0,PT3M36S,hd,true,Saturday,216.0,26,"['Dior', 'Cruise', '2023', 'golden', 'embroideries']"
14,1XZtyrgUQhg,Christian Dior,The Dior Cruise 2023 Show,"Tune into the Dior Cruise 2023 show by Maria Grazia Chiuri, unveiled at the majestic Plaza de España in Seville. 
#DiorCruise",,2022-06-16 20:50:21+00:00,3237225.0,13749.0,,,884.0,PT31M21S,hd,false,Thursday,1881.0,0,"['The', 'Dior', 'Cruise', '2023', 'Show']"
15,xDr0_T0vJmY,Christian Dior,Dior Cruise 2023 show in Seville,"Dior heads to the Spanish city of Seville for the unveiling of the Cruise 2023 collection by Maria Grazia Chiuri in a spectacular show this Thursday, June 16 at 10:15pm CET, right here on YouTube. Don't miss it!

© Production House: Alba Sotorra Cinema Productions 
Producer: Mar Garro Lleonart
Director of Photography: Lara Vilanova Sentís AEC
Camera Assistant & Focus Puller: Camila Pineda
Sound Recordist: Lucía Herrera Pérez 
Editor: Irene Molina
Assistant Editor: Mar Ortiz
Sound Design: Cora Delgado
Colour Grading: Toni Anglada
Supervisor: Lara Vilanova Sentís AEC
Conform: Carlos de Visa 
Post-Production Coordination: Mar Garro Lleonart and Mar Maduell Carbonell
Artist: Maria Angeles Vila Tortosa
Stamperia L'Acquaforte di Luigi Ferranti, Rome

#DiorCruise","['Dior', 'Christian Dior Couture', 'Christian Dior', 'Dior Couture', 'Spanish', 'Maria Grazia Chiuri', 'Cruise 2023', 'Dior Cruise 2023', 'Cruise']",2022-06-15 19:39:00+00:00,29639.0,640.0,,,10.0,PT2M54S,hd,true,Wednesday,174.0,9,"['Dior', 'Cruise', '2023', 'show', 'Seville']"
16,VL98zTmWzgg,Christian Dior,Getting Ready With Riley Keough at Cannes Film Festival 2022,"In the countdown to the premiere of her film “War Pony,” Riley Keough discusses the dramatic Dior look she chose for the red carpet, a mesmerizing Dior Haute Couture draped and pleated chiffon dress and coat in hand painted and embroidered satin leather by Maria Grazia Chiuri.

Explore the world of Dior: https://www.dior.com/en_int. 

#DiorCannes","['Dior', 'Christian Dior', 'Christian Dior Couture', 'Riley Keough', 'Dior Cannes', 'Cannes Film Festival', 'Actress', ""Women's collection"", ""Women's clothing"", ""Women's dress"", 'Maria Grazia Chiuri', 'Event', 'événement', 'Cannes', 'Festival de Cannes', 'War pony']",2022-06-13 17:11:45+00:00,9149.0,838.0,,,9.0,PT55S,hd,true,Monday,55.0,16,"['Getting', 'Ready', 'With', 'Riley', 'Keough', 'Cannes', 'Film', 'Festival', '2022']"
17,-KQ-uKcAxpA,Christian Dior,The 'Dior Print' High Jewelry Show in Taormina,"Be transported to the unveiling of the 'Dior Print' high jewelry collection by Victoire de Castellane at the Grand Hotel Timeo in Taormina, Italy. Jewelry-making masterpieces transposing prints in 3D are showcased in the site’s garden and a fairy-tale couture show held at night.

Explore the world of Dior: https://www.dior.com/en_int. 

#DiorHauteJoaillerie","['Dior', 'Christian Dior', 'Christian Dior Couture', 'Haute Joaillerie', 'Joaillerie', 'High Jewelry', 'Jewelry', 'Jewellery', 'Jewels', 'Gold', 'Haute Couture', 'Victoire de Castellane', 'Monsieur Dior', 'Miss Dior', 'Dior savoir-faire', 'savoir-faire', 'craft', 'craftsmanship', 'creativity', 'expertise', 'jewel', 'Dior Couture', 'Maria Grazia Chiuri', 'Taormina', 'Sicily', 'Event', 'Fashion show', 'show', 'runway', ""women's clothes"", ""women's clothing"", ""women's collection"", 'jewellery collection', 'jewelry collection']",2022-06-10 16:59:55+00:00,32113.0,1553.0,,,34.0,PT2M,hd,false,Friday,120.0,34,"['The', ""'Dior"", ""Print'"", 'High', 'Jewelry', 'Show', 'Taormina']"
18,smW8GQDhOgw,Christian Dior,A.B.C.Dior invites you to explore the letter 'D' for Dioriviera,"Deciphering symbols and secrets, each new episode in the A.B.C.Dior podcast series examines and explains the codes shaping the house of Dior. By moving from pure audio, this highly-illustrated video format allows for a full immersion into the House's history and heritage, offering fascinating insights for the viewer into the founding couturier’s own life, the friends who surrounded him, outside influences, and the work of his successors right up to the present day.

With the letter 'D', A.B.C.Dior invites you on a summer escapade within the Dioriviera universe. An irresistible destination, the French Riviera fascinated Christian Dior, with its colors, flowers and light a constant source of inspiration for his collections; a sunny fusion bridging French art de vivre and couture.

Stay tuned for more engaging and informative videos exploring the Dior codes. In the meantime, you can find all the episodes in the A.B.C.Dior podcast series here: https://podcasts.dior-stories.com/.

#DIOR","['Dior', 'Christian Dior', 'Christian Dior Couture', 'ABCDior', 'A.B.C.Dior', 'Podcast', 'Dioriviera', 'Archives', 'Dior Heritage', 'Dior savoir-faire', 'French Riviera', 'Monsieur Dior', 'Toile de jouy', 'toile de jouy']",2022-06-07 16:17:18+00:00,7193.0,499.0,,,7.0,PT5M25S,hd,true,Tuesday,325.0,14,"['A.B.C.Dior', 'invites', 'explore', 'letter', ""'D'"", 'Dioriviera']"
19,-HHbt8FcqDE,Christian Dior,Anaïs Demoustier Talks Film and Fashion at Cannes Film Festival 2022,"Escaping the crowds at the Cannes Film Festival 2022 to explore the city’s Old Town, actress Anaïs Demoustier - dressed in a Riviera-chic Dior look by Maria Grazia Chiuri - shares the storyline of Quentin Dupieux's ""Smoking Causes Coughing"" in which she plays Nicotine.

#DiorCannes","['Dior', 'Christian Dior', 'Christian Dior Couture', 'Anais Demoustier', 'Dior Cannes', 'Festival de Cannes', 'Cannes Festival', 'Actress', 'Actors', 'La Croisette', 'Famouse', 'VIPS', 'Celebrites', 'Maria Grazia Chiuri', 'Dior Beauty', 'Parfums Christian Dior', ""Women's clothing"", ""Women's clothes""]",2022-06-06 14:35:52+00:00,8781.0,394.0,,,3.0,PT56S,hd,true,Monday,56.0,18,"['Anaïs', 'Demoustier', 'Talks', 'Film', 'Fashion', 'Cannes', 'Film', 'Festival', '2022']"
20,zzgS0078TgQ,Christian Dior,Summer on the French Riviera,,,2022-06-06 14:31:45+00:00,5229.0,425.0,,,3.0,PT16S,hd,false,Monday,16.0,0,"['Summer', 'French', 'Riviera']"
21,d51HHgAvcIo,Christian Dior,Getting Ready With Pierre Niney at Cannes Film Festival 2022,"Filmed sailing in the Bay of Cannes and getting ready for the premiere of ""Masquerade"" at the Cannes Film Festival 2022, Pierre Niney discusses his beginnings in cinema and creating a dream through red-carpet dressing, slipping into a Dior men's 'Oblique' suit by Kim Jones.

#DiorCannes","['Dior', 'Christian Dior', 'Dior Cannes', 'Cannes Film Festival', 'Cannes Festival', 'Festival de Cannes', 'Pierre Niney', 'Actors', 'Cinema', 'Stars in Dior', 'Celebrities', 'VIPS', 'Gettin Ready', 'Getting Ready', 'Diary']",2022-06-03 13:22:10+00:00,8790.0,567.0,,,8.0,PT1M32S,hd,true,Friday,92.0,15,"['Getting', 'Ready', 'With', 'Pierre', 'Niney', 'Cannes', 'Film', 'Festival', '2022']"
22,lHS0k3QLT4A,Christian Dior,"Anaïs Demoustier dressed in Dior discusses her role in ""Smoking Causes Coughing"" at Cannes",,,2022-06-01 17:02:30+00:00,4541.0,415.0,,,2.0,PT54S,hd,false,Wednesday,54.0,0,"['Anaïs', 'Demoustier', 'dressed', 'Dior', 'discusses', 'role', '""Smoking', 'Causes', 'Coughing""', 'Cannes']"
23,P_mwo_R74RQ,Christian Dior,Review the Dior Spring 2023 show with Sehun,"House ambassador Sehun caught the online unveiling of the Dior Spring 2023 show by Kim Jones remotely while wearing an exclusive look from the new capsule collection. Join him as he watches the show and shares his observations and opinions!

Explore the full capsule collection: https://www.dior.com/en_int/mens-fashion/shows/spring-2023-mens-capsule-collection-presentation. 

#DiorSpring23","['Dior', 'Christian Dior', 'Christian Dior Couture', 'Sehun', 'Korea', 'Korean singer', 'K-pop', 'BTS', 'Brand ambassador', 'House ambassador', 'Seoul', 'Men Spring 2023', '2022', '2023', ""Men's collection"", ""men's clothes"", ""men's clothing"", 'menswear', 'Dior heritage', 'Dior archives', 'Kim Jones', 'Los Angeles', 'Venice Beach', 'runway', 'défilé', 'fashion show', 'LVMH', 'luxury brand', 'luxury goods']",2022-05-30 17:35:07+00:00,21017.0,2317.0,,,276.0,PT1M18S,hd,true,Monday,78.0,29,"['Review', 'Dior', 'Spring', '2023', 'show', 'Sehun']"
24,Ik_YyZ5nKP0,Christian Dior,Maria Sakkari plays tennis in 'Dior Vibe' looks - Episode 10,"In Season 2 of our YouTube series dedicated to the 'Dior Vibe' athleisure line by Maria Grazia Chiuri, Greek tennis player Maria Sakkari demonstrates the technique behind her powerful backhand stroke, dressed in utilitarian tennis-whites from the range. Newly enriched with pieces from the Dior Fall 2022 collection, this high-impact wardrobe introduces a modern direction for the House geared around comfort and the active lifestyle of the Dior woman.

Click here to explore the 'Dior Vibe' universe: https://www.dior.com/en_int/womens-fashion/dior-vibe-pop-up. 
Make our Dior Vibe playlist on Spotify the soundtrack of your workout to bring out the modern Dior woman in you: https://open.spotify.com/playlist/2DTJOji3hOcxCMLWByrOc5. 
And stay tuned for more videos of famous athletes testing the range!
 
© Photography: Jacq Harriet
Video: Amilcar Kg

#DiorVibe",,2022-05-27 13:00:09+00:00,6672.0,512.0,,,3.0,PT50S,hd,true,Friday,50.0,0,"['Maria', 'Sakkari', 'plays', 'tennis', ""'Dior"", ""Vibe'"", 'looks', '-', 'Episode', '10']"
25,jZXVmwhwY98,Christian Dior,"Who's the main character in here - Cara Delevingne, Alfie, Rose des Vents? It's a tough decision!",,,2022-05-25 16:04:29+00:00,12541.0,726.0,,,4.0,PT30S,hd,false,Wednesday,30.0,0,"[""Who's"", 'main', 'character', '-', 'Cara', 'Delevingne,', 'Alfie,', 'Rose', 'des', 'Vents?', ""It's"", 'tough', 'decision!']"
26,qoXEAnef10M,Christian Dior,The Dior x Madame Figaro Dinner,"Be transported to the glamorous, candlelit Dior x Madame Figaro Dinner, celebrating the 75th anniversary of the Cannes Film Festival 2022 and featuring a special performance by Juliette Armanet, dressed by Maria Grazia Chiuri. A formidable cast of Stars in Dior, including Carla Bruni, Eva Herzigova and Pierre Niney, share their experiences and favorite festival memories before partying the night away under the stars.

Explore the world of Dior: https://www.dior.com/en_int.

#DiorCannes","['Stars in Dior', 'Dior Cannes', 'Dior', 'Christian Dior Couture', 'Christian Dior', 'Dior Beauty', 'Juliette Armanet', 'Iris Law', 'Pierre Niney', 'Cesar Domboy', 'Rebecca Hall', 'Cinema', 'Cannes Film Festival', 'Festival de Cannes', '2022']",2022-05-25 15:46:08+00:00,9160.0,650.0,,,0.0,PT2M3S,hd,true,Wednesday,123.0,15,"['The', 'Dior', 'x', 'Madame', 'Figaro', 'Dinner']"
27,P4JXMXypiic,Christian Dior,Brooklyn Beckham Gets Ready for the Dior Men's Spring 2023 Show,"Join Brooklyn Beckham as he gets ready in the Dior Spring 2023 capsule collection by Kim Jones, guest designed by ERL. See the laid back California inspired look with the ERL signature wave and sequin embellishments he wore to the skater themed show, an activity he knows a thing or two about, while he shares his excitement with wife Nicola. 

Explore the full capsule collection: https://www.dior.com/en_int/mens-fashion/shows/spring-2023-mens-capsule-collection-presentation. 

Video by Mélinda Triana. 

#DiorSpring23 #DiorERL","['Dior', 'Dior Spring 2023', 'Spring 2023', 'Spring', ""Men's collection"", ""men's clothes"", ""men's clothing"", 'Brooklyn Beckham', 'Nicola Anne Peltz Beckham', 'Kim Jones', 'Los Angeles', 'LA', 'California', 'California vibes', 'California feeling', 'Skater', 'Skateboard']",2022-05-24 15:56:30+00:00,24074.0,700.0,,,8.0,PT1M50S,hd,true,Tuesday,110.0,17,"['Brooklyn', 'Beckham', 'Gets', 'Ready', 'Dior', ""Men's"", 'Spring', '2023', 'Show']"
28,3ZKY2ZwUrG0,Christian Dior,Venice vibes from the Men Spring 2023 show in Los Angeles! Which runway look is your favourite?,,,2022-05-23 17:09:37+00:00,6239.0,534.0,,,4.0,PT13S,hd,false,Monday,13.0,0,"['Venice', 'vibes', 'Men', 'Spring', '2023', 'show', 'Los', 'Angeles!', 'Which', 'runway', 'look', 'favourite?']"
29,07O_KEzfJs0,Christian Dior,A day at the exclusive Hôtel du Cap-Eden-Roc,Travel to the French Riviera with Christian Serratos for a summer escapade at the exclusive Hôtel du Cap-Eden-Roc with Dior.,,2022-05-23 12:32:56+00:00,10512.0,686.0,,,0.0,PT32S,hd,true,Monday,32.0,0,"['A', 'day', 'exclusive', 'Hôtel', 'du', 'Cap-Eden-Roc']"
30,x80s0jhoocI,Christian Dior,ERL takes on Dior Men's Spring 2023,"For this special California inspired collection, Kim Jones invited Eli Russell Linnetz, of the eponymous brand ERL, to guest design these pieces with his vision. The multi-talented artist, photographer, director, and designer has a clear Southern California influence in his work, directly reflecting his upbringing in Los Angeles. Who better to join forces with? Learn more about these pairing in the video here.

Explore the full capsule collection: https://www.dior.com/en_int/mens-fashion/shows/spring-2023-mens-capsule-collection-presentation. 

Video by Mélinda Triana / ERL.
Embroideries by Vastrakala Embroidery.

#DiorSpring23",,2022-05-22 13:26:55+00:00,22185.0,1086.0,,,32.0,PT4M40S,hd,true,Sunday,280.0,0,"['ERL', 'takes', 'Dior', ""Men's"", 'Spring', '2023']"
31,K__56TFMOAk,Christian Dior,Stars shine brightest in Dior!,,,2022-05-21 14:45:23+00:00,7423.0,515.0,,,7.0,PT16S,hd,false,Saturday,16.0,0,"['Stars', 'shine', 'brightest', 'Dior!']"
32,-uqsrWCd8oM,Christian Dior,Dior Men Spring 2023 Show,"Tune into the livestream of the Dior Men Spring 2023 show by Kim Jones, unveiled from Los Angeles's vibrant Venice Beach.

#DiorSpring23

“ONLY SHALLOW” performed by My Bloody Valentine 
Written by Kevin Shields & Bilinda Coyne 
Licensed courtesy of Domino Recording Company Limited 
& 1991 Warner Records 
Published by Kobalt Music Services Ltd 
Admin by Kobalt Music Publishing

""OCEAN"" performed by Lush 
Written by Miki Eleonara Berenyi
Licensed courtesy of 4AD 
By arrangement with Beggars Group Media Limited 
Published by BMG Rights Management (UK) Limited 
With the authorisation of BMG Rights Management (France) 

""GOODBYE HORSES” performed by Q Lazzarus & William Garvey
Written by William Garvey
Courtesy of Metro-Goldwyn-Mayer Music Inc.
Courtesy of Universal Music Publishing","['Dior', 'Christian Dior', 'Fashion shows', 'Fashion week', 'Scenography']",2022-05-20 03:33:10+00:00,2057358.0,5246.0,,,290.0,PT8M23S,hd,false,Friday,503.0,5,"['Dior', 'Men', 'Spring', '2023', 'Show']"
33,Yl3yKthflP4,Christian Dior,"Sunshine or moonlight? It's a Rose des Vents close call, but Cara Delevingne is here to help!",,,2022-05-18 08:22:28+00:00,8550.0,452.0,,,5.0,PT16S,hd,false,Wednesday,16.0,0,"['Sunshine', 'moonlight?', ""It's"", 'Rose', 'des', 'Vents', 'close', 'call,', 'Cara', 'Delevingne', 'help!']"
